Starting price: $10.00
On day 1, price is: $10.37
On day 2, price is: $11.75
On day 3, price is: $11.70
On day 4, price is: $11.55
On day 5, price is: $11.33
On day 6, price is: $11.16
On day 7, price is: $10.78
On day 8, price is: $11.59
On day 9, price is: $12.77
On day 10, price is: $12.21
On day 11, price is: $13.53
On day 12, price is: $13.49
On day 13, price is: $13.09
On day 14, price is: $13.90
On day 15, price is: $15.90
On day 16, price is: $17.31
On day 17, price is: $17.06
On day 18, price is: $17.05
On day 19, price is: $18.86
On day 20, price is: $20.13
On day 21, price is: $22.58
On day 22, price is: $22.17
On day 23, price is: $21.81
On day 24, price is: $21.26
On day 25, price is: $20.75
On day 26, price is: $20.40
On day 27, price is: $19.58
On day 28, price is: $19.01
On day 29, price is: $21.87
On day 30, price is: $22.52
On day 31, price is: $22.48
On day 32, price is: $25.45
On day 33, price is: $26.05
On day 34, price is: $25.54
On day 35, price is: $28.41
On day 36, price is: $27.03
On day 37, price is: $26.69
On day 38, price is: $27.37
On day 39, price is: $26.26
On day 40, price is: $25.80
On day 41, price is: $25.44
On day 42, price is: $24.31
On day 43, price is: $25.48
On day 44, price is: $25.05
On day 45, price is: $24.12
On day 46, price is: $27.12
On day 47, price is: $27.05
On day 48, price is: $26.71
On day 49, price is: $29.41
On day 50, price is: $33.41
On day 51, price is: $34.70
On day 52, price is: $36.49
On day 53, price is: $37.38
On day 54, price is: $37.78
On day 55, price is: $36.30
On day 56, price is: $37.85
On day 57, price is: $41.87
On day 58, price is: $40.68
On day 59, price is: $45.41
On day 60, price is: $48.88
On day 61, price is: $51.40
On day 62, price is: $51.30
On day 63, price is: $50.70
On day 64, price is: $50.17
On day 65, price is: $51.93
On day 66, price is: $55.67
On day 67, price is: $54.31
On day 68, price is: $54.94
On day 69, price is: $61.29
On day 70, price is: $59.09
On day 71, price is: $58.05
On day 72, price is: $59.33
On day 73, price is: $66.93
On day 74, price is: $65.52
On day 75, price is: $63.64
On day 76, price is: $61.18
On day 77, price is: $60.03
On day 78, price is: $57.53
On day 79, price is: $56.70
On day 80, price is: $56.14
On day 81, price is: $62.88
On day 82, price is: $61.26
On day 83, price is: $68.01
On day 84, price is: $65.64
On day 85, price is: $74.16
On day 86, price is: $70.69
On day 87, price is: $70.39
On day 88, price is: $72.34
On day 89, price is: $69.99
On day 90, price is: $76.08
On day 91, price is: $85.63
On day 92, price is: $83.76
On day 93, price is: $91.59
On day 94, price is: $90.12
On day 95, price is: $90.03
On day 96, price is: $89.10
On day 97, price is: $86.36
On day 98, price is: $86.71
On day 99, price is: $82.54
On day 100, price is: $81.33
On day 101, price is: $85.51
On day 102, price is: $84.41
On day 103, price is: $81.35
On day 104, price is: $79.98
On day 105, price is: $84.28
On day 106, price is: $91.87
On day 107, price is: $106.31
Simulation ended after 107 days at price $106.31
